pred_remaining_heat_mean,remaining_heat,horizon_bucket,city
10.958750716721637,11.3,h9,TOR
5.5685944150633935,6.0,h7,BUE
1.1786417623758476,0.0,h8,WLG
0.8531301084957912,0.0,h2,NYC
3.9842214451751228,3.0,h8,SEA
9.909208110562892,9.0,h7,DAL
1.2385193712184728,2.0,h2,ANK
2.2445557113544283,1.0,h7,SEL
7.002632234263021,6.0,h9,NYC
0.6093920168127693,0.6000000000000014,h2,BUE
1.0171271967898508,3.0,h2,BUE
7.663801068469044,7.200000000000003,h8,DAL
10.198631189840924,9.0,h8,BUE
1.6616489057940316,1.0,h2,SEA
2.71336853186336,0.6000000000000014,h5,CHI
7.233968635410879,5.0,h6,ANK
3.5042263883443496,4.5,h6,SEA
0.2694239385031956,0.0,h1,CHI
0.45400187616407395,0.9000000000000004,h1,TOR
1.9118689015026449,2.0,h3,SEL
2.337119875697772,1.4000000000000004,h4,LON
1.1984605970408047,1.1000000000000014,h3,DAL
2.8838536804054473,1.0,h9,NYC
0.7584868085600862,0.5,h3,MIA
1.6988547386232555,2.0,h4,CHI
4.7849051698638165,3.6999999999999993,h5,ANK
3.3838521518212468,4.0,h7,SEA
5.790096428064617,5.600000000000001,h8,LON
1.4527524292699954,2.0,h2,PAR
0.8882556443627299,0.5999999999999979,h2,NYC
0.3615508526466117,0.0,h1,DAL
0.4664842345749908,0.0,h2,MIA
5.241476509851455,2.0,h7,CHI
2.1506305913437913,1.5,h6,TOR
3.695543746698987,4.0,h4,WLG
8.196941362096197,9.100000000000001,h9,TOR
1.460113356340151,0.0,h3,BUE
3.3773802576791656,3.0,h6,DAL
5.3032088984650345,5.0,h5,MIA
0.9798340897840222,0.3999999999999986,h2,BUE
0.13815188821682786,0.0,h3,WLG
0.12319392390506553,0.0,h1,MIA
1.0201598421788,1.0,h3,WLG
3.2746807288362905,5.0,h5,CHI
7.587083336357474,8.299999999999997,h8,DAL
4.67525663581462,5.0,h7,ATL
5.496640857609092,6.699999999999996,h4,ATL
4.193740352342822,3.900000000000002,h7,CHI
4.134406401859485,2.0,h6,BUE
2.600189430244942,2.1999999999999993,h1,SEA
0.3738898883238765,0.6000000000000014,h1,ATL
0.6372131567852859,0.0,h2,NYC
12.22913848858387,14.0,h8,ANK
4.857580344549373,5.400000000000002,h8,TOR
1.212010944156122,1.0,h7,SEA
1.1814927777436093,0.3999999999999986,h1,ANK
5.857563805510091,6.0,h8,MIA
9.317457168337848,9.0,h8,BUE
2.063317960897667,1.0999999999999979,h3,MIA
8.212070574843432,10.0,h8,PAR
2.9886427017964383,3.900000000000002,h4,ATL
2.999890932245438,2.0,h6,TOR
9.624089246859805,8.0,h6,DAL
1.0738986723567496,0.0,h2,ANK
5.54369231472656,5.0,h8,SEL
2.7883416655037596,2.0,h5,CHI
1.7411058839820406,1.0,h4,SEA
5.370336736742737,3.900000000000002,h7,ATL
2.702228100727564,3.0,h5,SEL
1.4149763604825114,0.1999999999999993,h4,BUE
1.0482336744042473,1.0,h2,WLG
4.014299363168205,4.5,h1,ATL
13.094873761519333,14.399999999999999,h8,BUE
2.7615884286973786,4.9,h1,PAR
5.547166428352815,7.199999999999996,h7,ATL
3.042353842177638,6.0,h6,PAR
5.541901091555335,10.6,h8,SEA
10.89168585210528,10.599999999999998,h5,SEA
0.7339419890255734,1.0,h2,BUE
11.12726336227526,12.0,h8,DAL
1.1650007567782554,1.0,h1,NYC
6.0116949604405185,6.0,h8,SEL
14.303912916642568,12.700000000000001,h6,CHI
5.23142505116136,5.5,h6,ATL
8.060667746341558,6.0,h8,DAL
5.760458160475288,4.0,h6,BUE
0.6474591215816512,0.6000000000000001,h1,TOR
6.886567267846703,7.899999999999999,h6,BUE
2.1670299153622867,1.0,h5,NYC
0.6055677628278553,0.0,h1,TOR
9.994991647771194,9.0,h6,ATL
7.5372049143427065,8.0,h8,SEL
11.948801941758292,13.0,h8,BUE
5.654906192044367,6.0,h8,SEL
5.120669247056379,4.0,h6,SEA
6.8875604007384315,8.0,h9,PAR
1.4362999152540603,1.0,h3,ANK
6.23748255865384,8.9,h6,SEA
9.700674943995843,13.0,h9,ATL
1.676985301663813,1.0,h9,WLG
9.964117588174613,12.0,h9,PAR
8.017548308131307,12.0,h7,ANK
8.050577068879448,9.0,h8,ATL
6.548904562690997,6.1000000000000005,h2,TOR
3.5655800446632533,2.1999999999999993,h5,DAL
5.147658261177223,4.0,h6,NYC
