feature,importance_mean,importance_std,horizon_bucket
temp_roll_mean_12h,0.0004463409766541915,0.0,h7
temp_lag_9h,0.0003924554731264962,0.0,h7
temp_roll_mean_24h,0.0003500801845301993,0.0,h7
temp_lag_19h,0.0003326406008685723,0.0,h7
temp_lag_7h,0.0002899919134460305,0.0,h7
temp_lag_10h,0.00027558762403612214,0.0,h7
temp_lag_11h,0.0002352394458964291,0.0,h7
temp_lag_14h,0.00020930828300413928,0.0,h7
temp_lag_3h,3.602441976191528e-05,0.0,h7
delta_cldc_1h,1.1115674183548307e-05,0.0,h7
is_daylight,0.0,0.0,h7
is_raining,0.0,0.0,h7
longitude,0.0,0.0,h7
prcp,0.0,0.0,h7
delta_temp_1h,0.0,0.0,h7
is_coastal_airport,0.0,0.0,h7
is_us_airport,0.0,0.0,h7
rain_24h_sum,-0.00011730024408462825,0.0,h7
temp_lag_8h,-0.00023306789894506075,0.0,h7
temp_lag_13h,-0.0002488841778109929,0.0,h7
delta_temp_3h,-0.00037232402971776324,0.0,h7
delta_temp_4h,-0.0004389102537227796,0.0,h7
temp_lag_20h,-0.0005285327140829299,0.0,h7
temp_roll_std_6h,-0.0005687125405158255,0.0,h7
temp_lag_5h,-0.0007787790007032225,0.0,h7
latitude,-0.0007831486678848698,0.0,h7
rain_6h_sum,-0.0008445902041211983,0.0,h7
temp_lag_12h,-0.001074339808672109,0.0,h7
rain_12h_sum,-0.0032669496788513275,0.0,h7
delta_temp_16h,0.17799094083929767,0.0,h6
city,0.1633325861189734,0.0,h6
delta_temp_17h,0.1534979751256671,0.0,h6
solar_hour_angle_deg,0.08457283244276059,0.0,h6
rhum,0.06135573570892183,0.0,h6
wspd,0.05446439218606369,0.0,h6
wdir,0.04746918128539379,0.0,h6
temp_roll_std_24h,0.04011844090610528,0.0,h6
cldc,0.033007405700860026,0.0,h6
hours_from_solar_peak,0.022988013075687874,0.0,h6
temp_trend_1h,0.02237992670116329,0.0,h6
solar_elevation_deg,0.020781015457012053,0.0,h6
temp_lag_24h,0.015801299579622174,0.0,h6
solar_heating_efficiency,0.01272332191065173,0.0,h6
doy_cos,0.012014802301633543,0.0,h6
delta_temp_14h,0.011034379333209277,0.0,h6
delta_pres_6h,0.010522881108645965,0.0,h6
delta_temp_20h,0.009632836641894071,0.0,h6
temp_lag_17h,0.009092719992869647,0.0,h6
delta_temp_24h,0.008952798531660866,0.0,h6
temp_roll_std_12h,0.008551400243998586,0.0,h6
delta_temp_15h,0.007811548628248177,0.0,h6
temp_lag_2h,0.007351958437638695,0.0,h6
temp_roll_std_6h,0.0065770349106351045,0.0,h6
temp_lag_3h,0.005672849533954194,0.0,h6
hours_since_rain,0.005271546057666887,0.0,h6
delta_temp_23h,0.004972665342757088,0.0,h6
delta_temp_10h,0.004909213779419552,0.0,h6
temp_roll_std_3h,0.004881698897574616,0.0,h6
temp,0.004656582747033067,0.0,h6
delta_temp_18h,0.004363437779475676,0.0,h6
wpgt,0.003920563267295174,0.0,h6
delta_temp_13h,0.0037873423654375404,0.0,h6
temp_lag_5h,0.0037090479816770383,0.0,h6
temp_lag_18h,0.0033022775332662846,0.0,h6
temp_roll_mean_3h,0.0031220524278059436,0.0,h6
delta_temp_19h,0.0028880038546303943,0.0,h6
coco,0.0026494684251643363,0.0,h6
